codArt;nomArt;alto_cm;ancho_cm;largo _cm;Peso_kg;Ubicación
NU0014;APME LIQUIDO FÓRMULA POLIMÉRICA NIÑOS MAYORES DE 6 AÑOS Y ADULTOS BOTELLA X 125ML;11,00;5,5;5,00;167,00;Carga Seca
RP0098;GEMCITABINA 1G/100ML (0,01G/ML) SOLUCION INYECTABLE;10,5;5,5;6,00;217,00;Comerciales
RC0012;CAPECITABINA 500MG COMPRIMIDO RECUBIERTO;10,5;5,5;9,5;138,00;Comerciales
AT0024;ESOMEPRAZOL 10MG GRANULADO A SUSPENSION ORAL;10,00;5,5;4,7;153,00;Carga Seca
HU0093;TENOFOVIR + EMTRICITABINA 300MG+200MG TABLETA RECUBIERTA;10,00;5,5;5,5;64,00;Carga Seca
THE003;DARUNAVIR 600MG TABLETA RECUBIERTA;10,00;5,5;5,5;91,00;Comerciales
LG0130;RITUXIMAB 500MG/50ML (10MG/ML) SOLUCION INYECTABLE;10,00;5,5;5,5;104,00;Cadena de Frio
GH0021;HIERRO FERRICO POLIMALTOSADO 50MG/5ML SOLUCION ORAL;13;5,5;5,5;255;Carga Seca
WT0106;LOSARTAN 50MG TABLETA RECUBIERTA;12;5,5;15,00;258,00;Carga Seca
HAL001;CARBONATO DE CALCIO + VITAMINA D3 600MG+400MG TABLETA;10;5,5;5,50;77;Carga Seca
HU0003;HALOPERIDOL 5MG TABLETA;9;5,5;4;33,00;Carga Seca
RC0080;RITUXIMAB 1.400MG/11,7ML (120MG/ML) SOLUCION INYECTABLE;8,00;5,40;5,40;59,00;Cadena de Frio
RC0045;TOCILIZUMAB 200MG/10ML (20MG/ML) SOLUCION INYECTABLE;7,90;5,40;5,40;55,00;Cadena de Frio
RC0073;TRASTUZUMAB 600MG/5ML (120MG/ML) SOLUCION INYECTABLE;7,80;5,40;5,40;37,00;Cadena de Frio
RC0072;PERTUZUMAB 420MG/14ML (30MG/ML) SOLUCION CONCENTRADA PARA INFUSION;7,80;5,40;5,40;56,00;Cadena de Frio
RC0068;TRASTUZUMAB EMTANSINA 100MG POLVO A SOLUCION INYECTABLE;7,80;5,40;5,40;37,00;Cadena de Frio
MK0278;ACETAMINOFEN + CAFEINA 500MG+65MG TABLETA RECUBIERTA;7,70;5,40;10,70;65,00;Carga Seca
LL0048;DULAGLUTIDA 0,75MG/0,5ML SOLUCION INYECTABLE;13,00;5,40;16,10;194,00;Cadena de Frio
AN0024;BROMHEXINA 4MG/5ML JARABE;11,10;5,40;5,40;168,00;Carga Seca
AN0023;BROMHEXINA 8MG/5ML JARABE;11,00;5,40;5,40;167,00;Carga Seca
AN0044;ACICLOVIR 200MG/5ML POLVO A SUSPENSION ORAL;11,00;5,40;5,40;67,00;Carga Seca
ALL028;DEXAMETASONA 0,7MG IMPLANTE INTRAVITREO;13,00;5,4;29,00;184,00;Comerciales
OP0025;DIFENHIDRAMINA 12,5MG/5ML JARABE;11,2;5,4;5,4;174,00;Carga Seca
SVP014;VALACICLOVIR 1G TABLETA RECUBIERTA;9,00;5,30;6,50;77,00;Carga Seca
RC0076;TRASTUZUMAB EMTANSINA 160MG POLVO LIOFILIZADO A SOLUCION INYECTABLE;7,80;5,30;5,30;42,00;Cadena de Frio
RC0082;ATEZOLIZUMAB 1.200MG/20ML (60MG/ML) SOLUCION INYECTABLE;7,70;5,30;5,30;72,00;Cadena de Frio
RP0097;METOTREXATO 2,5MG TABLETA;4,60;5,30;11,20;41,00;Comerciales
PF0022;SOMATROPINA HUMANA RECOMBINANTE (16UI) 5,3MG/UI POLVO A SOLUCION INYECTABLE;2,70;5,30;13,90;26,00;Cadena de Frio
DR0004;FULVESTRANT 250MG/5ML (50MG/ML) SOLUCION INYECTABLE;18,40;5,30;11,20;108,00;Cadena de Frio
FAES11;BILASTINA 2,5MG/ML SOLUCION ORAL;12,70;5,30;5,30;228,00;Carga Seca
SA0044;TRIAMCINOLONA 55MCG SUSPENSION NASAL;12,50;5,30;4,80;43,00;Carga Seca
AL0028;TIMOLOL + TAVOPROST (5MG+0,04MG) /ML (5%+0,04%) SOLUCION OFTALMICA;11,50;5,30;4,30;15,00;Carga Seca
BU0030;FLUCONAZOL 50MG/5ML POLVO A SUSPENSION ORAL;11,10;5,30;5,30;49,00;Carga Seca
TF0113;IMIGLUCERASE 400UI POLVO LIOFILIZADO A SOLUCION INYECTABLE;10,70;5,30;5,30;39,00;Cadena de Frio
LG0036;VALGANCICLOVIR 450MG TABLETA RECUBIERTA;9,5;5,3;5,5;80,00;Comerciales
PX0201;COMPLEJO B + LIDOCAINA (B1+B6+B12+30MG) /2ML SOLUCION INYECTABLE;9,00;5,3;2,5;55,00;Carga Seca
LQ0191;MAGNESIO + ALUMINIO (2,39G+0,63G) /100ML SUSPENSION ORAL;6,5;5,3;7,5;444,00;Carga Seca
BA0015;METRONIDAZOL + NIFUROXAZIDA (250MG+200MG) /5ML SUSPENSION ORAL;12,2;5,3;5,3;182,00;Carga Seca
VP0055;LEVOCARNITINA 10G/100ML SOLUCION ORAL;11,5;5,3;5,3;163,00;Comerciales
PX0131;VALSARTAN + AMLODIPINO 320MG+5MG CAPSULA BLANDA;9,40;5,20;16,10;74,00;Carga Seca
GF0121;IBUPROFENO 800MG TABLETA RECUBIERTA;8,30;5,20;6,50;82,00;Carga Seca
GF0097;ERITROMICINA 500MG TABLETA RECUBIERTA;6,40;5,20;8,20;71,00;Carga Seca
STR004;PEGFILGRASTIM 6MG/0,6ML SOLUCION INYECTABLE;4,40;5,20;14,80;54,00;Cadena de Frio
EU0043;RUPATADINA 1MG/ML SOLUCION ORAL;12,70;5,20;7,70;191,00;Carga Seca
PF0020;GEMFIBROZILO 900MG TABLETA RECUBIERTA;12,40;5,20;17,20;271,00;Comerciales
MR0083;SUCRALFATO 1G TABLETA MASTICABLE;12,20;5,20;9,60;88,00;Carga Seca
NU0027;APME LIQUIDO FÓRMULA POLIMÉRICA PARA LACTANTES DE 0 A 18 MESES BOTELLA X 125ML;11,00;5,20;5,20;156,00;Carga Seca
SVP079;CEFUROXIMA 750MG POLVO A SOLUCION INYECTABLE;9,2;5,2;3,2;43,00;Carga Seca
NU0035;APME LIQUIDO FÓRMULA POLIMÉRICA NIÑOS MAYORES DE 6 AÑOS Y ADULTOS BOTELLA X 125ML;11,00;5,2;5,2;167,00;Carga Seca
NO0058;METFORMINA + VILDAGLIPTINA 850MG+50MG COMPRIMIDO RECUBIERTO;10,5;5,2;17,20;68;Carga Seca
BE0028;LOSARTAN 50MG TABLETA RECUBIERTA;8,90;5,10;7,90;56,00;Comerciales
PX0226;VALSARTAN + AMLODIPINO 160MG+10MG CAPSULA BLANDA;7,70;5,10;15,90;59,00;Carga Seca
CO0003;CLORANFENICOL 250MG CAPSULA;7,10;5,10;9,10;51,00;Carga Seca
GO0001;FLUCITOSINA 500MG CAPSULA;6,00;5,10;11,70;64,00;Comerciales
SA0089;INSULINA GLARGINA 450UI/1,5ML (300UI/ML) SOLUCION INYECTABLE;2,90;5,10;17,10;57,00;Cadena de Frio
SA0115;INSULINA GLARGINA + LIXISENATIDA (300UI+99MCG) /3ML (100UI+33MCG) /ML SOLUCION INYECTABLE;2,80;5,10;17,30;51,00;Cadena de Frio
SA0054;ALUMINIO HIDROXIDO 234MG TABLETA MASTICABLE;9,3;5,1;10,20;73;Carga Seca
GD0023;CETAPHIL ULTRA HUMECTANTE PIEL SECA Y SENSIBLE LOCION TOPICA;6,00;5,1;6;6,00;Comerciales
GD0036;CETHAPIL LOCION HUMECTANTE PIEL SENSIBLE NORMAL A SECA;20,00;5,1;10;542,00;Comerciales
BY0144;DAROLUTAMIDA 300MG TABLETA RECUBIERTA;10,09;5,08;5,07;120,00;Comerciales
LG0056;LOPINAVIR + RITONAVIR 200MG+50MG TABLETA RECUBIERTA;9,04;5,06;5,05;108,00;Comerciales
MG0080;EPINASTINA 0,5MG/ML (0,05%) SOLUCION OFTALMICA;9,50;5,00;4,00;15,00;Carga Seca
GL0027;NADROPARINA CALCICA 3.800UI/0,4ML  SOLUCION INYECTABLE;9,50;5,00;15,00;123,00;Comerciales
AT0072;METFORMINA + DAPAGLIFLOZINA 1.000MG+10MG TABLETA DE LIBERACION PROLONGADA;9,5;5,00;15,00;94,00;Comerciales
CF0008;METOXALENO 10MG TABLETA RECUBIERTA;9,3;5,00;5,8;64,00;Carga Seca
NVX014;ACETAMINOFEN 160MG/5ML (3,2%) JARABE;9,3;5,00;5,00;91,00;Carga Seca
LL0052;RAMUCIRUMAB 500MG/50ML (10MG/ML) SOLUCION CONCENTRADA PARA INFUSION;9,20;5,00;5,00;110,00;Cadena de Frio
JN0018;TOPIRAMATO 50MG TABLETA;9,00;5,00;5,00;47,00;Carga Seca
LS0135;AMOXICILINA 250MG/5ML POLVO A SUSPENSION ORAL;9,00;5,00;5,00;41,00;Carga Seca
FK0001;CARBOPLATINO 450MG/45ML (10MG/ML) SOLUCION INYECTABLE;9,00;5,00;5,00;122,00;Comerciales
PINT08;ALBUMINA HUMANA 10G/50ML (0,2G/ML) (20%) SOLUCION INYECTABLE;9,00;5,00;5,00;140,00;Comerciales
XN0008;BOSENTAN 125MG TABLETA RECUBIERTA;9,00;5,00;5,00;36,00;Comerciales
BPH001;INFLIXIMAB 100MG POLVO LIOFILIZADO A SOLUCION INYECTABLE;9,00;5,00;5,00;40,00;Cadena de Frio
SG0101;VITAMINA D3 + MAGNESIO 2.000UI+80MG TABLETA MASTICABLE;9,00;5,00;5,00;60,00;Carga Seca
PF0132;BOSUTINIB 500MG COMPRIMIDO RECUBIERTO;9,00;5,00;5,00;59,00;Comerciales
TE0219;IBUPROFENO 600MG TABLETA RECUBIERTA;8,70;5,00;7,80;58,00;Carga Seca
HU0131;ATAZANAVIR + RITONAVIR 300MG+100MG TABLETA RECUBIERTA;8,7;5,00;5,7;64,00;Carga Seca
THE007;TENOFOVIR + EMTRICITABINA 300MG+200MG TABLETA RECUBIERTA;8,50;5,00;5,00;52,00;Carga Seca
FR0034;ERTAPENEM 1G POLVO LIOFILIZADO A SOLUCION INYECTABLE;8,50;5,00;5,00;28,00;Carga Seca
AP0033;CISPLATINO 50MG/50ML (1MG/ML) SOLUCION INYECTABLE;8,5;5,00;5,00;116,00;Comerciales
SVP074;OXALIPLATINO 100MG POLVO LIOFILIZADO A SOLUCION INYECTABLE;8,5;5,00;5,00;64,00;Comerciales
AP0035;CARBOPLATINO 450MG/45ML (10MG/ML) SOLUCION INYECTABLE;8,5;5,00;5,00;110,00;Comerciales
THE010;DARUNAVIR + RITONAVIR 800MG+100MG TABLETA RECUBIERTA;8,5;5,00;5,00;70,00;Comerciales
THE004;DARUNAVIR 800MG TABLETA RECUBIERTA;8,3;5,00;5,00;64,00;Comerciales
LG0134;DEFERASIROX 360MG TABLETA RECUBIERTA;8,00;5,00;5,8;50,00;Comerciales
ALT020;FENOFIBRATO + PRAVASTATINA 160MG+40MG CAPSULA DURA;8,00;5,00;5,5;61,00;Comerciales
LG0023;TENOFOVIR + EMTRICITABINA 300MG+200MG TABLETA RECUBIERTA;8,00;5,00;5,00;56,00;Carga Seca
PX0227;VALSARTAN + AMLODIPINO 160MG+5MG CAPSULA BLANDA;7,70;5,00;15,80;59,00;Carga Seca
PX0133;FEBUXOSTAT 120MG CAPSULA BLANDA;7,70;5,00;15,90;54,00;Carga Seca
RM0095;DEXLANSOPRAZOL 30MG CAPSULA DE LIBERACION DUAL;7,5;5,00;13,00;34,00;Carga Seca
SG0079;CLONAZEPAM 2MG TABLETA RECUBIERTA;7,00;5,00;11,00;81,00;Controlados
AB0284;FAMOTIDINA 10MG TABLETA;7,00;5,00;10,5;28,00;Carga Seca
BT0178;RUFINAMIDA 400MG TABLETA;7,00;5,00;13,00;80,00;Comerciales
PX0302;CANNABIDIOL 100MG CAPSULA BLANDA;7,00;5,00;9,00;49,00;Comerciales
NV0042;MONTELUKAST 4MG GRANULADO A SOLUCION ORAL;6,70;5,00;11,00;45,00;Carga Seca
SG0117;DEXLANSOPRAZOL 60MG CAPSULA DE LIBERACION RETARDADA;6,7;5,00;14,7;45,00;Carga Seca
DE0037;PENICILINA G BENZATINICA 1.200.000UI POLVO A SOLUCION INYECTABLE;6,7;5,00;13,7;189,00;Carga Seca
SG0118;DEXLANSOPRAZOL 30MG CAPSULA DE LIBERACION RETARDADA;6,7;5,00;4,5;35,00;Carga Seca
SER006;AMLODIPINO + INDAPAMIDA 5MG+1,5MG COMPRIMIDO DE LIBERACION MODIFICADA;6,50;5,00;11,70;42,00;Carga Seca
GL0098;LEVETIRACETAM 500MG/5ML (100MG/ML) SOLUCION INYECTABLE;6,5;5,00;15,00;192,00;Comerciales
LP0146;LORATADINA 10MG TABLETA;6,3;5,00;8,00;63,00;Carga Seca
EXE018;BUDESONIDA + FORMOTEROL (200MCG+6MCG) /DOSIS CAPSULA PARA INHALACION;6,00;5,00;8,7;54,00;Carga Seca
FAR003;ALGINATO 2,5G/100ML SUSPENSION ORAL;6,00;5,00;7,50;420,00;Carga Seca
ADV007;TRIOXIDO DE ARSENICO 10MG/10ML (1MG/ML) SOLUCION INYECTABLE;6,00;5,00;13,00;362,00;Comerciales
MR0017;MONTELUKAST 10MG TABLETA;6,00;5,00;12,50;20,00;Carga Seca
VI0013;CEFOTAXIMA 1G POLVO A SOLUCION INYECTABLE;5,50;5,00;12,70;159,00;Carga Seca
QF0006;RETINOICO ACIDO 0,05G/100G (0,05%) CREMA TOPICA;5,3;5,00;5,00;54,00;Carga Seca
AP0002;AZATIOPRINA 50MG TABLETA;5,00;5,00;11,5;50,00;Carga Seca
BU0111;YODOPOVIDONA 200MG OVULO VAGINAL;4,60;5,00;11,50;79,00;Carga Seca
HU0092;VALPROATO DE SODIO 500MG/5ML (100MG/ML) SOLUCION INYECTABLE;4,5;5,00;11,5;165,00;Carga Seca
EXE002;DOXOFILINA 400MG TABLETA;4,5;5,00;10,5;58,00;Comerciales
VT0064;AMPICILINA 500MG POLVO A SOLUCION INYECTABLE;4,5;5,00;11,00;107,00;Carga Seca
EC0057;PIRIDOXINA 50MG TABLETA;4,00;5,00;8,4;37,00;Carga Seca
LS0201;RISPERIDONA 2MG TABLETA RECUBIERTA;4,00;5,00;7,5;39,00;Carga Seca
NO0138;SECUKINUMAB 150MG/ML SOLUCION INYECTABLE;3,60;5,00;17,30;76,00;Cadena de Frio
LF0350;BEVACIZUMAB 100MG/4ML (25MG/ML) SOLUCION INYECTABLE;3,50;5,00;7,10;28,00;Cadena de Frio
NO0186;OFATUMUMAB 20MG/0,4ML SOLUCION INYECTABLE;3,50;5,00;17,30;71,00;Cadena de Frio
GF0130;KETOPROFENO 2,5G/100G (2,5%) GEL TOPICO;3,5;5,00;14,5;80,00;Carga Seca
RM0023;UREA 15G/100G (15%) CREMA TOPICA;3,5;5,00;16,00;84,00;Carga Seca
LB0018;HIOSCINA N-BUTIL BROMURO 10MG GRAGEA;3,5;5,00;8,5;28,00;Carga Seca
NK0003;LIRAGLUTIDA 18MG/3ML (6MG/ML) SOLUCION INYECTABLE;3,20;5,00;16,50;51,00;Cadena de Frio
FK0058;APME LIQUIDO FÓRMULA POLIMERICA PARA ADULTOS EASYBAG X 1.000ML;24,5;5,00;16,00;1,110,00;Carga Seca
BCN049;FOSFATO SODIO MONOBASICO + FOSFATO SODIO DIBASICO (16G+6G) /100ML SOLUCION ORAL;18,50;5,00;5,00;184,00;Carga Seca
MK0328;ALUMINIO HIDROXIDO + MAGNESIO + SIMETICONA (4G+4G+0,4G) /100ML SUSPENSION ORAL;17,5;5,00;7,00;430,00;Carga Seca
AX0011;SOLUCION DE AGUA DE MAR HIPERTONICA SPRAY NASAL;17,5;5,00;5,2;159,00;Carga Seca
BI0062;ACICLOVIR 5G/100G (5%) CREMA VAGINAL;17,30;5,00;13,20;180,00;Carga Seca
PX0208;ACETAMINOFEN 500MG CAPSULA BLANDA;17,00;5,00;8,00;120,00;Carga Seca
LQ0095;ALUMINIO HIDROXIDO + MAGNESIO + SIMETICONA (4G+4G+0,4G) /100ML SUSPENSION ORAL;16,5;5,00;7,5;444,00;Carga Seca
NVX015;BICARBONATO DE SODIO + ALGINATO DE SODIO (2,67G+2,5G) /100ML SUSPENSION ORAL;16,00;5,00;7,00;430,00;Carga Seca
HU0079;LACTULOSA 66,7G/100ML SOLUCION ORAL;14,5;5,00;5,00;360,00;Carga Seca
TE0142;BENCIDAMINA 0,15G/100ML SOLUCION BUCAL;14,00;5,00;5,00;150,00;Carga Seca
AB0227;APME LIQUIDO FÓRMULA POLIMERICA PARA NIÑOS BOTELLA X 220ML;14,00;5,00;5,00;262,00;Carga Seca
AB0204;APME LIQUIDO FÓRMULA POLIMERICA PARA ADULTOS BOTELLA X 220ML;14,00;5,00;5,00;261,00;Carga Seca
FK0056;APME LIQUIDO FÓRMULA POLIMERICA PARA ADULTOS BOTELLA X 200ML;14,00;5,00;5,00;237,00;Carga Seca
FK0119;APME LIQUIDO FÓRMULA POLIMÉRICA PARA NIÑOS 1 A 12 AÑOS BOTELLA X 200ML;14,00;5,00;5,00;235,00;Carga Seca
FK0068;APME LIQUIDO FÓRMULA POLIMERICA PARA PERSONAS APARTIR DE LOS 3 AÑOS BOTELLA X 200ML;14,00;5,00;5,00;240,00;Carga Seca
AB0219;APME LIQUIDO FÓRMULA POLIMERICA PARA ADULTOS BOTELLA X 220ML;13,50;5,00;5,00;269,00;Carga Seca
AB0226;APME LIQUIDO FÓRMULA POLIMERICA PARA ADULTOS BOTELLA X 220ML;13,5;5,00;5,00;262,00;Carga Seca
AB0224;APME LIQUIDO FÓRMULA POLIMERICA PARA ADULTOS BOTELLA X 220ML;13,5;5,00;5,00;262,00;Carga Seca
AB0267;APME LIQUIDO FÓRMULA POLIMERICA PARA ADULTOS BOTELLA X 220ML;13,5;5,00;5,00;269,00;Carga Seca
PF0181;AZITROMICINA 200MG/5ML POLVO A SUSPENSION ORAL;13,5;5,00;9,00;65,00;Carga Seca
AB0222;APME LIQUIDO FÓRMULA POLIMERICA PARA ADULTOS BOTELLA X 220ML;13,4;5,00;5,00;261,00;Carga Seca
AB0150;APME LIQUIDO FÓRMULA POLIMERICA PARA ADULTOS BOTELLA X 220ML;13,00;5,00;5,00;268,00;Carga Seca
EC0075;FEXOFENADINA 30MG/5ML SUSPENSION ORAL PEDIATRICO;12,5;5,00;5,00;197,00;Carga Seca
PF0124;VENLAFAXINA 37,5MG CAPSULA DE LIBERACION PROLONGADA;12,5;5,00;3,00;10,00;Carga Seca
OPE008;DEXTROMETORFANO 0,2G/100ML JARABE;12,5;5,00;5,7;259,00;Carga Seca
GD0030;PEROXIDO DE BENZOILO + ADALAPENO (2,5G+0,3G) /100G GEL TOPICO;12,30;5,00;5,50;72,00;Carga Seca
HU0088;ZINC SULFATO  2MG/ML SOLUCION ORAL;12,00;5,00;7,00;175,00;Carga Seca
LQ0112;KETOTIFENO 20MG/100ML JARABE;12,00;5,00;5,00;147,00;Carga Seca
SG0089;AMOXICILINA + CLAVULANICO ACIDO (250MG+62,5MG) /5ML POLVO A SUSPENSION ORAL;12,00;5,00;5,00;57,00;Carga Seca
LF0212;AZELASTINA 1MG/ML SOLUCION NASAL;12,00;5,00;5,7;59,00;Carga Seca
LF0144;BISMUTO SUBSALICILATO 1,7G/100ML SUSPENSION ORAL;12,00;5,00;5,00;147,00;Carga Seca
BX0118;APME LIQUIDO FÓRMULA OLIGOMÉRICA PARA NIÑOS DE 1 A 13 AÑOS TETRAPAK X 250ML;12,00;5,00;5,00;280,00;Carga Seca
CAL007;TRANSRETINOICO ACIDO (TRETINOINA) 10MG CAPSULA;11,20;5,00;5,40;113,00;Comerciales
LB0005;CLORFENIRAMINA 2MG/5ML JARABE;11,00;5,00;5,00;166,00;Carga Seca
LP0047;SULFATO FERROSO 4G/100ML JARABE;11,00;5,00;5,00;174,00;Carga Seca
FR0068;METFORMINA + SITAGLIPTINA 1.000MG+100MG TABLETA RECUBIERTA DE LIBERACION PROLONGADA;11,00;5,00;5,00;81,00;Carga Seca
EC0131;METRONIDAZOL 250MG/5ML SUSPENSION ORAL;11,00;5,00;5,00;154,00;Carga Seca
LP0028;GUAYACOLATO 2G/100ML SOLUCION ORAL;11,00;5,00;5,00;171,00;Carga Seca
LS0036;DICLOXACILINA 250MG/5ML POLVO A SUSPENSION ORAL;11,00;5,00;5,00;73,00;Carga Seca
MK0034;BENZOATO DE BENCILO 30G/100ML (30%) LOCION TOPICA;11,00;5,00;5,00;219,00;Carga Seca
LP0010;AMBROXOL 30MG/5ML JARABE;11,00;5,00;5,00;151,00;Carga Seca
LP0009;AMBROXOL 15MG/5ML JARABE;11,00;5,00;5,00;151,00;Carga Seca
AMA033;FITOMENADIONA (VITAMINA K1) 2MG/0,2ML SOLUCION INYECTABLE;11,00;5,00;12,00;50,00;Comerciales
LC0022;BENZIDAMINA  0,15G/100ML SOLUCION BUCAL;11,00;5,00;8,00;160,00;Carga Seca
LF0367;MONTELUKAST + LEVOCETIRIZINA 5MG+2,5MG TABLETA MASTICABLE;11,00;5,00;5,00;23,00;Carga Seca
LP0023;DIFENHIDRAMINA 12,5MG/5ML JARABE;11,00;5,00;5,00;175,00;Carga Seca
SVP005;ATAZANAVIR + RITONAVIR 300MG+100MG TABLETA RECUBIERTA;11,00;5,00;5,00;88,00;Carga Seca
RE0009;CARBAMAZEPINA 2G/100ML (2%) SUSPENSION ORAL;11,00;5,00;5,00;228,00;Carga Seca
LQ0209;YODOPOVIDONA 10G/100ML (10%) SOLUCION TOPICA;11,00;5,00;5,00;145,00;Carga Seca
GL0108;LAPATINIB 250MG TABLETA;11,00;5,00;5,00;110,00;Comerciales
MK0062;DICLOXACILINA 250MG/5ML POLVO A SUSPENSION ORAL;11,00;5,00;5,00;152,00;Carga Seca
MK0012;AMBROXOL 15MG/5ML JARABE;11,00;5,00;5,00;238,00;Carga Seca
BT0195;DASATINIB 100MG TABLETA RECUBIERTA;11,00;5,00;5,00;52,00;Comerciales
BU0052;PERMETRINA 1G/100ML EMULSION TOPICA - SHAMPOO;10,90;5,00;7,20;103,00;Carga Seca
MR0091;SUCRALFATO 1G/5ML SUSPENSION ORAL;10,70;5,00;9,50;154,00;Carga Seca
GL0056;DUTASTERIDA + TAMSULOSINA 0,5MG+0,4MG CAPSULA DURA;10,50;5,00;5,00;57,00;Carga Seca
NV0132;LOSARTAN 50MG TABLETA;10,50;5,00;8,70;90,00;Carga Seca
AN0011;NAPROXENO 150MG/5ML (3%) SUSPENSION ORAL;10,50;5,00;5,00;112,00;Carga Seca
LP0037;LORATADINA 5MG/5ML SOLUCION ORAL;10,5;5,00;5,00;150,00;Carga Seca
LQ0134;FLUOXETINA 20MG/5ML SOLUCION ORAL;10,5;5,00;5,00;111,00;Carga Seca
NV0034;FLUOXETINA 20MG TABLETA;10,5;5,00;8,8;91,00;Carga Seca
LP0034;KETOTIFENO 20MG/100ML JARABE;10,5;5,00;5,00;149,00;Carga Seca
LQ0190;CLARITROMICINA 250MG/5ML POLVO A SUSPENSION ORAL;10,5;5,00;5,00;58,00;Carga Seca
LQ0014;CEFALEXINA 250MG/5ML POLVO A SUSPENSION ORAL;10,5;5,00;5,00;56,00;Carga Seca
TF0065;PACLITAXEL 100MG POLVO LIOFILIZADO A SUSPENSION INYECTABLE;10,5;5,00;5,00;83,00;Comerciales
SVP012;TENOFOVIR 300MG TABLETA;10,5;5,00;5,00;60,00;Carga Seca
LQ0183;YODOPOVIDONA 0,8G/100ML (8%) ESPUMA SOLUCION TOPICA;10,5;5,00;5,00;148,00;Carga Seca
GLM013;ABIRATERONA 250MG TABLETA;10,5;5,00;6,00;133,00;Comerciales
FR0004;RALTEGRAVIR 400MG TABLETA;10,2;5,00;5,00;95,00;Comerciales
FR0077;RALTEGRAVIR 100MG TABLETA MASTICABLE;10,2;5,00;5,00;75,00;Comerciales
FR0078;RALTEGRAVIR 25MG TABLETA MASTICABLE;10,2;5,00;5,00;61,00;Comerciales
BCN044;TIOTROPIO BROMURO 18MCG CAPSULA PARA INHALACION;10,00;5,00;7,00;48,00;Carga Seca
BX0083;FOSFATO SODIO MONOBASICO + FOSFATO SODIO DIBASICO (16G+6G) /100ML SOLUCION ORAL;10,00;5,00;5,00;170,00;Carga Seca
GL0010;BUPROPION 150MG TABLETA DE LIBERACION PROLONGADA;10,00;5,00;5,20;37,00;Carga Seca
GL0116;BUPROPION 300MG TABLETA DE LIBERACION PROLONGADA;10,00;5,00;5,00;44,00;Comerciales
GL0140;ABACAVIR + LAMIVUDINA + DOLUTEGRAVIR 600MG+300MG+50MG TABLETA RECUBIERTA;10,00;5,00;6,4;100,00;Comerciales
GL0153;LAMIVUDINA + DOLUTEGRAVIR 300MG+50MG TABLETA RECUBIERTA;10,00;5,00;6,20;71,00;Comerciales
GL0114;PAZOPANIB 200MG TABLETA RECUBIERTA;10,00;5,00;6,00;50,00;Comerciales
SLM002;DESMOPRESINA 0,1MG/ML SOLUCION PARA INHALACION;10,00;5,00;5,00;42,00;Comerciales
PF0055;SUNITINIB MALATO 50MG CAPSULA;9,50;4,90;5,00;37,00;Comerciales
PF0062;SUNITINIB MALATO 25MG CAPSULA;9,50;4,90;5,00;35,00;Comerciales
AMG014;BEVACIZUMAB 100MG/4ML (25MG/ML) SOLUCION INYECTABLE;4,40;4,90;9,40;37,00;Cadena de Frio
AMG020;DARBEPOETINA ALFA 100MCG SOLUCION INYECTABLE;3,50;4,90;15,20;34,00;Cadena de Frio
RC0060;METOXIPOLIETILENGLICOL + EPOETINA BETA 50MCG/0,3ML SOLUCION INYECTABLE;3,40;4,90;17,50;40,00;Cadena de Frio
TE0213;GEMFIBROZILO 900MG TABLETA RECUBIERTA;12,10;4,90;17,00;252,00;Carga Seca
FR0032;METFORMINA + SITAGLIPTINA 850MG+50MG TABLETA RECUBIERTA;9,40;4,80;13,90;64,00;Carga Seca
AB0113;PANCREATINA 300MG (25.000UI) CAPSULA DE LIBERACION RETARDADA;9,20;4,80;14,30;65,00;Carga Seca
TF0112;TEMOZOLOMIDA 250MG CAPSULA DURA;9,20;4,80;5,50;34,00;Comerciales
TF0130;DASATINIB 100MG TABLETA;9,00;4,80;5,40;49,00;Comerciales
BT0126;BOSENTAN 62,5MG TABLETA RECUBIERTA;8,20;4,80;4,8;43,00;Comerciales
MK0126;PANCREATINA + SIMETICONA 170MG+80MG TABLETA RECUBIERTA;7,90;4,80;4,80;52,00;Carga Seca
FC0026;PENICILINA G BENZATINICA 1.200.000UI POLVO A SOLUCION INYECTABLE;6,00;4,80;11,20;151,00;Carga Seca
PX0210;ACETAMINOFEN + CAFEINA 500MG+50MG TABLETA;15,00;4,80;8,00;82,00;Carga Seca
MK0305;WARFARINA 5MG TABLETA;12,10;4,80;9,00;70,00;Carga Seca
PF0092;VORICONAZOL 200MG POLVO LIOFILIZADO A SOLUCION INYECTABLE;10,00;4,80;4,80;41,00;Comerciales
HU0150;ENTECAVIR 1MG TABLETA RECUBIERTA;10;4,80;5,40;36,00;Comerciales
NVX011;DESLORATADINA 0,05G/100ML (0,05%) JARABE;9,20;4,8;5,00;140,00;Carga Seca
HU0120;ENTACAPONA + LEVODOPA + CARBIDOPA 200MG+100MG+25MG TABLETA;9,00;4,8;4,8;55,00;Carga Seca
HU0121;ENTACAPONA + LEVODOPA + CARBIDOPA 200MG+150MG+37,5MG TABLETA RECUBIERTA;8,7;4,8;4,8;57,00;Carga Seca
HU0122;ENTACAPONA + LEVODOPA + CARBIDOPA 200MG+50MG+12,5MG TABLETA;8,7;4,8;4,8;51,00;Carga Seca
FC0002;AMPICILINA + SULBACTAM 1G+0,5G POLVO A SOLUCION INYECTABLE;6,00;4,8;12,20;160,00;Carga Seca
